paper_title,arxiv_id,fig1_file_path,abstract,fig1_caption
MinPrompt: Graph-based Minimal Prompt Data Augmentation for Few-shot Question Answering,2310.05007v3,/export/fs06/yguan19/Figure1_Dataset/benchmark/img/2310.05007v3_0.pdf,"Recent advances in few-shot question answering (QA) mostly rely on the power of pre-trained large language models (LLMs) and fine-tuning in specific settings. Although the pre-training stage has already equipped LLMs with powerful reasoning capabilities, LLMs still need to be fine-tuned to adapt to specific domains to achieve the best results. In this paper, we propose to select the most informative data for fine-tuning, thereby improving the efficiency of the fine-tuning process with comparative or even better accuracy on the open-domain QA task. We present , a minimal data augmentation framework for open-domain QA based on an approximate graph algorithm and unsupervised question generation. We transform the raw text into a graph structure to build connections between different factual sentences, then apply graph algorithms to identify the minimal set of sentences needed to cover the most information in the raw text. We then generate QA pairs based on the identified sentence subset and train the model on the selected sentences to obtain the final model. Empirical results on several benchmark datasets and theoretical analysis show that is able to achieve comparable or better results than baselines with a high degree of efficiency, bringing consistent improvements in F-1 scores.",Framework overview for \ours.
SportsMetrics: Blending Text and Numerical Data to Understand Information Fusion in LLMs,2402.10979v2,/export/fs06/yguan19/Figure1_Dataset/benchmark/img/2402.10979v2_0.pdf,"Large language models hold significant potential for integrating various data types, such as text documents and database records, for advanced analytics. However, blending text and numerical data presents substantial challenges. LLMs need to process and cross-reference entities and numbers, handle data inconsistencies and redundancies, and develop planning capabilities such as building a working memory for managing complex data queries. In this paper, we introduce four novel tasks centered around sports data analytics to evaluate the numerical reasoning and information fusion capabilities of LLMs. These tasks involve providing LLMs with detailed, play-by-play sports game descriptions, then challenging them with adversarial scenarios such as new game rules, longer durations, scrambled narratives, and analyzing key statistics in game summaries. We conduct extensive experiments on NBA and NFL games to assess the performance of LLMs on these tasks. Our benchmark, , introduces a new mechanism for assessing LLMs' numerical reasoning and fusion skills.","Play-by-plays of an NBA game. We include timestamps, player actions, team affiliations and a game recap. Total points for both teams are indicated in dotted circles and are withheld from LLMs."
Expedited Training of Visual Conditioned Language Generation via Redundancy Reduction,2310.03291v3,/export/fs06/yguan19/Figure1_Dataset/benchmark/img/2310.03291v3_0.png,"In this paper, we introduce $_{}$, a streamlined framework designed for the pre-training of visually conditioned language generation models with high computational demands, utilizing frozen pre-trained large language models (LLMs). The conventional approach in vision-language pre-training (VLP) typically involves a two-stage optimization process: an initial resource-intensive phase dedicated to general-purpose vision-language representation learning, focused on extracting and consolidating relevant visual features. This is followed by a subsequent phase that emphasizes end-to-end alignment between visual and linguistic modalities. Our novel one-stage, single-loss framework bypasses the computationally demanding first training stage by gradually merging similar visual tokens during training, while avoiding model collapse caused by single-stage training of BLIP-2 type models. The gradual merging process effectively condenses visual information while preserving semantic richness, resulting in rapid convergence without compromising performance. Our experimental findings demonstrate that our approach accelerates the training of vision-language models by a factor of 5 without a noticeable impact on overall performance. Furthermore, we illustrate that our models significantly narrow the performance gap to current vision-language models using only 1/10 of the data. Finally, we showcase how our image-text models can seamlessly adapt to video-conditioned language generation tasks through novel soft attentive temporal token contextualizing modules. Code is available at .","Overview of our $\text{EVL}_{\text{Gen}}$. $\text{EVL}_{\text{Gen}}$ employs a streamlined, single-stage training mechanism with a unified loss. Here, visual tokens (in grey) are progressively aggregated based on their inherent similarities at each layer of the TomeFormer architecture. The final set of merged tokens (in orange) serves as semantically rich but computationally efficient soft prompts, guiding the LLM to generate a corresponding caption for the input image."
Subtle Biases Need Subtler Measures: Dual Metrics for Evaluating Representative and Affinity Bias in Large Language Models,2405.14555v4,/export/fs06/yguan19/Figure1_Dataset/benchmark/img/2405.14555v4_0.png,"Research on Large Language Models (LLMs) has often neglected subtle biases that, although less apparent, can significantly influence the models' outputs toward particular social narratives. This study addresses two such biases within LLMs: {representative bias}, which denotes a tendency of LLMs to generate outputs that mirror the experiences of certain identity groups, and {affinity bias}, reflecting the models' evaluative preferences for specific narratives or viewpoints. We introduce two novel metrics to measure these biases: the Representative Bias Score (RBS) and the Affinity Bias Score (ABS), and present the Creativity-Oriented Generation Suite (CoGS), a collection of open-ended tasks such as short story writing and poetry composition, designed with customized rubrics to detect these subtle biases. Our analysis uncovers marked representative biases in prominent LLMs, with a preference for identities associated with being white, straight, and men. Furthermore, our investigation of affinity bias reveals distinctive evaluative patterns within each model, akin to `bias fingerprints'. This trend is also seen in human evaluators, highlighting a complex interplay between human and machine bias perceptions.{https://github.com/akkeshav/subtleBias}.}","Proportion of GPT-4's preferred responses for the short poem task in CoGS, categorized by identity-specific prompts, with highlighted sectors indicating a preference for outputs from those identities."
GradSafe: Detecting Jailbreak Prompts for LLMs via Safety-Critical Gradient Analysis,2402.13494v2,/export/fs06/yguan19/Figure1_Dataset/benchmark/img/2402.13494v2_0.pdf,"Large Language Models (LLMs) face threats from jailbreak prompts. Existing methods for detecting jailbreak prompts are primarily online moderation APIs or finetuned LLMs. These strategies, however, often require extensive and resource-intensive data collection and training processes. In this study, we propose , which effectively detects jailbreak prompts by scrutinizing the gradients of {safety-critical parameters} in LLMs. Our method is grounded in a pivotal observation: the gradients of an LLM’s loss for jailbreak prompts paired with compliance response exhibit similar patterns on certain safety-critical parameters. In contrast, safe prompts lead to different gradient patterns. Building on this observation, analyzes the gradients from prompts (paired with compliance responses) to accurately detect jailbreak prompts. We show that , applied to Llama-2 without further training, outperforms Llama Guard—despite its extensive finetuning with a large dataset—in detecting jailbreak prompts. This superior performance is consistent across both zero-shot and adaptation scenarios, as evidenced by our evaluations on ToxicChat and XSTest. The source code is available at . [!t] [width=1]{figures/gradsafe.pdf} .} %{`jailbreak' and `Safe' words are not aligned with the arrows well. `Safety-Critical Parameters' and `jailbreak Gradient {fig:intro}","Comparison of existing LLM-based jailbreak prompt detection and \ours: a) Zero-shot LLM detectors can be imprecise, such as overestimating safety risks; b) Finetuned LLMs demand extensive training on carefully curated datasets; c) \ours accurately detects jailbreak prompts using safety-critical gradients, without the need for LLM finetuning. Example prompt from XSTest~\cite{rottger2023xstest}."
An Information-Theoretic Approach to Analyze NLP Classification Tasks,2402.00978v1,/export/fs06/yguan19/Figure1_Dataset/benchmark/img/2402.00978v1_0.png,"Understanding the importance of the inputs on the output is useful across many tasks. This work provides an information-theoretic framework to analyse the influence of inputs for text classification tasks. Natural language processing (NLP) tasks take either a single element input or multiple element inputs to predict an output variable, where an element is a block of text. Each text element has two components: an associated semantic meaning and a linguistic realization. Multiple-choice reading comprehension (MCRC) and sentiment classification (SC) are selected to showcase the framework. For MCRC, it is found that the context influence on the output compared to the question influence reduces on more challenging datasets. In particular, more challenging contexts allow a greater variation in complexity of questions. Hence, test creators need to carefully consider the choice of the context when designing multiple-choice questions for assessment. For SC, it is found the semantic meaning of the input text dominates (above 80\% for all datasets considered) compared to its linguistic realisation when determining the sentiment. The framework is made available at: .",Data generation for multiple-choice reading comprehension for the context (blue) and question (purple) respectively.
OPEx: A Component-Wise Analysis of LLM-Centric Agents in Embodied Instruction Following,2403.03017v1,/export/fs06/yguan19/Figure1_Dataset/benchmark/img/2403.03017v1_0.pdf,"Embodied Instruction Following (EIF) is a crucial task in embodied learning, requiring agents to interact with their environment through egocentric observations to fulfill natural language instructions. Recent advancements have seen a surge in employing large language models (LLMs) within a framework-centric approach to enhance performance in embodied learning tasks, including EIF. Despite these efforts, there exists a lack of a unified understanding regarding the impact of various components—ranging from visual perception to action execution—on task performance. To address this gap, we introduce OPEx, a comprehensive framework that delineates the core components essential for solving embodied learning tasks: Observer, Planner, and Executor. Through extensive evaluations, we provide a deep analysis of how each component influences EIF task performance. Furthermore, we innovate within this space by deploying a multi-agent dialogue strategy on a TextWorld counterpart, further enhancing task performance. Our findings reveal that LLM-centric design markedly improves EIF outcomes, identify visual perception and low-level action execution as critical bottlenecks, and demonstrate that augmenting LLMs with a multi-agent framework further elevates performance.",Overview of our OPEx framework. We will open-source the code after acceptance.
Hyper-CL: Conditioning Sentence Representations with Hypernetworks,2403.09490v2,/export/fs06/yguan19/Figure1_Dataset/benchmark/img/2403.09490v2_0.pdf,"While the introduction of contrastive learning frameworks in sentence representation learning has significantly contributed to advancements in the field, it still remains unclear whether state-of-the-art sentence embeddings can capture the fine-grained semantics of sentences, particularly when conditioned on specific perspectives. In this paper, we introduce Hyper-CL, an efficient methodology that integrates hypernetworks with contrastive learning to compute conditioned sentence representations. In our proposed approach, the hypernetwork is responsible for transforming pre-computed condition embeddings into corresponding projection layers. This enables the same sentence embeddings to be projected differently according to various conditions. Evaluation of two representative conditioning benchmarks, namely conditional semantic text similarity and knowledge graph completion, demonstrates that Hyper-CL is effective in flexibly conditioning sentence representations, showcasing its computational efficiency at the same time. We also provide a comprehensive analysis of the inner workings of our approach, leading to a better interpretation of its mechanisms. Our code is available at {https://github.com/HYU-NLP/Hyper-CL}.","Illustration of our approach dubbed Hyper-CL. In the example, two sentences are provided along with two distinct conditions, $c_{high}$ and $c_{low}$. Specifically, $c_{high}$ (\textcolor{orange}{orange}) denotes a condition that results in the sentences being interpreted more similarly, whereas $c_{low}$ (\textcolor{blue}{blue}) leads to a perspective in which the two sentences are understood as being relatively more distinct. The identical pair of sentences are projected into different subspaces that reflect the provided conditions."
ABEX: Data Augmentation for Low-Resource NLU via Expanding Abstract Descriptions,2406.04286v1,/export/fs06/yguan19/Figure1_Dataset/benchmark/img/2406.04286v1_0.pdf,"We present {ABEX}, a novel and effective generative data augmentation methodology for low-resource Natural Language Understanding (NLU) tasks. ABEX is based on {AB}stract-and-{EX}pand, a novel paradigm for generating diverse forms of an input document -- we first convert a document into its concise, abstract description and then generate new documents based on expanding the resultant abstraction. To learn the task of expanding abstract descriptions, we first train BART on a large-scale synthetic dataset with abstract-document pairs. Next, to generate abstract descriptions for a document, we propose a simple, controllable, and training-free method based on editing AMR graphs. ABEX brings the best of both worlds: by expanding from abstract representations, it preserves the original semantic properties of the documents, like style and meaning, thereby maintaining alignment with the original label and data distribution. At the same time, the fundamental process of elaborating on abstract descriptions facilitates diverse generations. We demonstrate the effectiveness of ABEX on 4 NLU tasks spanning 12 datasets and 4 low-resource settings. ABEX outperforms all our baselines qualitatively with improvements of 0.04\% - 38.8\%. Qualitatively, ABEX outperforms all prior methods from literature in terms of context and length diversity~. $Equal Technical Contribution.}","Illustration of our proposed augmentation methodology. {Top: Learning to Expand Abstract Descriptions.} \textcircled{\raisebox{-0.9pt}{1}} We synthesize a large-scale synthetic dataset $\mathcal{D}_{ab}$ with abstract-document pairs by prompting LLMs with unlabeled documents from $\mathcal{D}_{ab}$. \textcircled{\raisebox{-0.9pt}{2}} We pre-train BART on this dataset with abstract as input and document as the target for learning to expand abstract descriptions. {Bottom: Data Augmentation.} \textcircled{\raisebox{-0.9pt}{1}} We convert the document into its AMR graph representation $\mathcal{G}_{i}$ using a Text-to-AMR Parser. \textcircled{\raisebox{-0.9pt}{2}} $\mathcal{G}_{i}$ then goes through multiple steps of {deletion} to obtain $\hat{\mathcal{G}}_{i}$ \textcircled{\raisebox{-0.9pt}{3}} We optionally retrieve a semantically similar document from $\mathcal{D}_{down}$, obtain its AMR graph $\mathcal{G}_{k}$, and replace subtrees in $\hat{\mathcal{G}}_{i}$ with {similar} subtrees in $\hat{\mathcal{G}}_{i}$. \textcircled{\raisebox{-0.9pt}{4}} $\hat{\mathcal{G}}_{i}$ is then converted back to text (which is now an abstract description) using an AMR-to-Text generator. \textcircled{\raisebox{-0.9pt}{5}} This abstract description is then passed to the fine-tuned BART for generating augmentations. \textcircled{\raisebox{-0.9pt}{6}} We optionally fine-tune the fine-tuned BART (from the 1st step) on abstract-document pairs from $\mathcal{D}_{down}$."
Token-wise Influential Training Data Retrieval for Large Language Models,2405.11724v2,/export/fs06/yguan19/Figure1_Dataset/benchmark/img/2405.11724v2_0.pdf,"{Given a Large Language Model (LLM) generation, how can we identify which training data led to this generation?} In this paper, we proposed , a scalable framework adapting to LLMs for estimating the influence of each training data. The proposed framework consists of two stages: caching and retrieval. First, we compress the gradient vectors by over 200,000x, allowing them to be cached on disk or in GPU/CPU memory. Then, given a generation, efficiently traverses the cached gradients to estimate the influence within minutes, achieving over a 6,326x speedup. Moreover, supports multi-GPU parallelization to substantially accelerate caching and retrieval. Our empirical result confirms the efficiency and effectiveness of .",Influence estimation for a given generation.
Tuning Large Multimodal Models for Videos using Reinforcement Learning from AI Feedback,2402.03746v3,/export/fs06/yguan19/Figure1_Dataset/benchmark/img/2402.03746v3_0.pdf,"Recent advancements in large language models have influenced the development of video large multimodal models (VLMMs). Previous approaches for VLMMs involve Supervised Fine-Tuning (SFT) with instruction-tuned datasets, integrating LLM with visual encoders, and additional learnable parameters. Here, aligning video with text, and vice versa, remains a challenge, primarily due to the insufficient quality and quantity of multimodal instruction-tune data compared to that of text-only. This discrepancy often results in alignments that poorly ground the video content. % that are not well-grounded in the video content. To address this, we present a novel alignment strategy that employs a multimodal AI system equipped with Reinforcement Learning from AI Feedback (RLAIF), providing self-preference feedback to refine itself and facilitating the alignment of video and text modalities. Our approach uniquely integrates detailed video descriptions as context into a multimodal AI system during preference feedback generation to enrich the understanding of video content, a process we call {context-aware reward modeling}. Empirical evaluations on various video benchmarks demonstrate that our outperforms existing approaches, including the SFT model. We commit to open-sourcing our code, models, and datasets to foster further research in this area.","{Quantitative comparison of VLMMs on various video benchmarks.} The video question answering (VQA) task is marked in \textcolor{purple}{purple}, video-based generative task in \textcolor{blue}{blue}, the text-to-video (T2V) retrieval task in \textcolor{violet}{violet} and the action recognition (AR) task in \textcolor{orange}{orange} color. \method achieves superior performances on a broad range of video benchmarks compared to previous approaches, including \methodsft. Comprehensive comparisons are provided in Tables \ref{tab:vid_bench_main_quan}, \ref{tab:main_quan} and \ref{tab:video_ret_acr_quan}."
AbsInstruct: Eliciting Abstraction Ability from LLMs through Explanation Tuning with Plausibility Estimation,2402.10646v2,/export/fs06/yguan19/Figure1_Dataset/benchmark/img/2402.10646v2_0.pdf,"Abstraction ability is crucial in human intelligence, which can also benefit various tasks in NLP study. Existing work shows that LLMs are deficient in abstract ability, and how to improve it remains unexplored. In this work, we design the framework to enhance LLMs' abstraction ability through instruction tuning. The framework builds instructions with in-depth explanations to assist LLMs in capturing the underlying rationale of abstraction. Meanwhile, we introduce a plausibility estimator to select instructions that are more consistent with the abstraction knowledge of LLMs to be aligned. Then, our framework combines abstraction instructions with general-purpose ones to build a hybrid dataset. Extensive experiments and analyses} demonstrate that our framework can considerably enhance LLMs' abstraction ability with strong generalization performance while maintaining their general instruction-following abilities.",An illustration of our \papertitle framework. We collect explanation traces for each example and design a plausibility estimator to select data that match the knowledge of an LLM to be aligned.
An Information Bottleneck Perspective for Effective Noise Filtering on Retrieval-Augmented Generation,2406.01549v2,/export/fs06/yguan19/Figure1_Dataset/benchmark/img/2406.01549v2_0.pdf,"Retrieval-augmented generation integrates the capabilities of large language models with relevant information retrieved from an extensive corpus, yet encounters challenges when confronted with real-world noisy data. One recent solution is to train a filter module to find relevant content but only achieve suboptimal noise compression. In this paper, we propose to introduce the information bottleneck theory into retrieval-augmented generation. Our approach involves the filtration of noise by simultaneously maximizing the mutual information between compression and ground output, while minimizing the mutual information between compression and retrieved passage. In addition, we derive the formula of information bottleneck to facilitate its application in novel comprehensive evaluations, the selection of supervised fine-tuning data, and the construction of reinforcement learning rewards. Experimental results demonstrate that our approach achieves significant improvements across various question answering datasets, not only in terms of the correctness of answer generation but also in the conciseness with $2.5\%$ compression rate.","In retrieval-augmented generation, passages $X$ are retrieved to enhance the generation of output $Y$. (A) Recent Noise filtering approaches obtain the compression $\tilde{X}\subseteq X$ with log likelihood objective to outputs $Y$. Our information bottleneck objective enables a precise delineation of the intersection $\tilde{X}_{\exper{IB}}=X\cap Y$. (B) Information bottleneck explicitly compresses $\tilde{X}_{\exper{IB}}=\phi$, when retrieved passages are irrelevant to outputs."
